Word	Number of Instance	Number of Sense	Perplexity
midweek	1140	2	1.45133049498
fatherhood	1290	4	1.98229500311
leakey	1110	3	1.44785876244
tragedian	1140	2	1.45133049498
heath	1140	2	1.45133049498
eliot	1140	2	1.45133049498
stylist	1140	2	1.45133049498
tourer	1140	2	1.45133049498
peter	1140	2	1.45133049498
handel	1140	2	1.45133049498
corporation	1000	1	1.0
fitzgerald	1110	3	1.44785876244
actor	1000	1	1.0
saviour	1140	2	1.45133049498
literalism	1140	2	1.45133049498
forge	1140	2	1.45133049498
sailor	1110	3	1.44785876244
gershwin	1140	2	1.45133049498
chemist	1140	2	1.45133049498
seeger	1140	2	1.45133049498
cellar	1110	3	1.44785876244
severn_river	1140	2	1.45133049498
pitchman	1140	2	1.45133049498
handiness	1140	2	1.45133049498
peacekeeper	1110	3	1.44785876244
prosecution	1110	3	1.44785876244
carnegie	1140	2	1.45133049498
dunker	1110	3	1.44785876244
averting	1140	2	1.45133049498
tanganyika	1140	2	1.45133049498
foil	1375	5	2.30431306448
devon	1140	2	1.45133049498
arbiter	1140	2	1.45133049498
silverweed	1140	2	1.45133049498
rising	1140	2	1.45133049498
richardson	1140	2	1.45133049498
pope	1140	2	1.45133049498
struma	1140	2	1.45133049498
dewey	1110	3	1.44785876244
doubter	1140	2	1.45133049498
castaway	1140	2	1.45133049498
fighter	1665	3	2.45109572271
infanticide	1140	2	1.45133049498
omnibus	1140	2	1.45133049498
tete-a-tete	1140	2	1.45133049498
ogden	1140	2	1.45133049498
jewel	1140	2	1.45133049498
quandary	1140	2	1.45133049498
conferrer	1140	2	1.45133049498
ball-buster	1140	2	1.45133049498
study_hall	1140	2	1.45133049498
inset	1110	3	1.44785876244
firestorm	1140	2	1.45133049498
potato_tree	1140	2	1.45133049498
walker	1440	5	2.4747591631
management	1420	2	1.83536165002
rescuer	1140	2	1.45133049498
commencement	1110	3	1.44785876244
